ID,Domain,Sub-Domain,Topic Area,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Choice H,Choice I,Choice J,Choice K,Choice L,Choice N,Choice N,Correct Answer(s)
1168,,,,"When resolving ethical conflicts, the information security professional MUST consider many factors. In what order should these considerations be prioritized?","Public safety, duties to individuals, duties to the profession, and duties to principals","Public safety, duties to principals, duties to individuals, and duties to the profession","Public safety, duties to the profession, duties to principals, and duties to individuals","Public safety, duties to principals, duties to the profession, and duties to individuals",,,,,,,,,,,C
1169,,,,"An organization's retail website provides its only source of revenue, so the disaster recovery plan (DRP) must document an estimated time for each step in the plan. Which of the following steps in the DRP will list the GREATEST duration of time for the service to be fully operational?",Update the Network Address Translation (NAT) table.,Update Domain Name System (DNS) server addresses with domain registrar.,Update the Border Gateway Protocol (BGP) autonomous system number.,Update the web server network adapter configuration.,,,,,,,,,,,B
1170,,,,Which of the following is the MOST common use of the Online Certificate Status Protocol (OCSP)?,To obtain the expiration date of an X.509 digital certificate,To obtain the revocation status of an X.509 digital certificate,To obtain the author name of an X.509 digital certificate,To verify the validity of an X.509 digital certificate,,,,,,,,,,,D
1171,,,,"If an employee transfers from one role to another, which of the following actions should this trigger within the identity and access management (IAM) lifecycle?",New account creation,User access review and adjustment,Deprovisioning,System account access review and adjustment,,,,,,,,,,,B
1172,,,,A hospital enforces the Code of Fair Information Practices. What practice applies to a patient requesting their medical records from a web portal?,Use limitation,Individual participation,Purpose specification,Collection limitation,,,,,,,,,,,D
1173,,,,Which of the following types of datacenter architectures will MOST likely be used in a large SDN and can be extended beyond the datacenter?,iSCSI,FCoE,Three-tiered network,Spine and leaf,E Top-of-rack switching,,,,,,,,,,D
1174,,,,Which of the following types of hosts should be operating in the demilitarized zone (DMZ)?,Hosts intended to provide limited access to public resources,Database servers that can provide useful information to the public,Hosts that store unimportant data such as demographical information,File servers containing organizational data,,,,,,,,,,,A
1175,,,,"A software engineer uses automated tools to review application code and search for application flaws, back doors, or other malicious code. Which of the following is the FIRST Software Development Life Cycle (SDLC) phase where this takes place?",Design,Test,Development,Deployment,,,,,,,,,,,C
1176,,,,A fiber link connecting two campus networks is broken. Which of the following tools should an engineer use to detect the exact break point of the fiber link?,OTDR,Tone generator,Fusion splicer,Cable tester,PoE injector,,,,,,,,,,A
1177,,,,Which of the following BEST describes the purpose of software forensics?,To perform cyclic redundancy check (CRC) verification and detect changed applications,To review program code to determine the existence of backdoors,To analyze possible malicious intent of malware,To determine the author and behavior of the code,,,,,,,,,,,D
1178,,,,A software architect has been asked to build a platform to distribute music to thousands of users on a global scale. The architect has been reading about content delivery networks (CDN). Which of the following is a principal task to undertake?,Establish a service-oriented architecture (SOA).,Establish a media caching methodology.,Establish relationships with hundreds of Internet service providers (ISP).,Establish a low-latency wide area network (WAN).,,,,,,,,,,,B
1179,,,,The Open Web Application Security Project’s (OWASP) Software Assurance Maturity Model (SAMM) allows organizations to implement a flexible software security strategy to measure organizational impact based on what risk management aspect?,Risk tolerance,Risk exception,Risk treatment,Risk response,,,,,,,,,,,D
1180,,,,What Is a risk of using commercial off-the-shelf (COTS) products?,COTS products may not map directly to an organization’s security requirements.,COTS products are typically more expensive than developing software in-house.,Cost to implement COTS products is difficult to predict.,Vendors are often hesitant to share their source code.,,,,,,,,,,,A
1181,,,,An organization recently suffered from a web-application attack that resulted in stolen user session cookie information. The attacker was able to obtain the information when a user’s browser executed a script upon visiting a compromised website. What type of attack MOST likely occurred?,Cross-Site Scripting (XSS),Extensible Markup Language (XML) external entities,SQL injection (SQLI),Cross-Site Request Forgery (CSRF),,,,,,,,,,,A
1182,,,,The security team plans on using automated account reconciliation in the corporate user access review process. Which of the following must be implemented for the BEST results with fewest errors when running the audit?,Removal of service accounts from review,Segregation of Duties (SoD),Clear provisioning policies,Frequent audits,,,,,,,,,,,C
1183,,,,"An organization's internal audit team performed a security audit on the company's system and reported that the manufacturing application is rarely updated along with other issues categorized as minor. Six months later, an external audit team reviewed the same system with the same scope, but identified severe weaknesses in the manufacturing application's security controls. What is MOST likely to be the root cause of the internal audit team's failure in detecting these security issues?",Inadequate test coverage analysis,Inadequate security patch testing,Inadequate log reviews,Inadequate change control procedures,,,,,,,,,,,A
1184,,,,"According to the (ISC)? ethics canon “act honorably, honestly, justly, responsibly, and legally,"" which order should be used when resolving conflicts?","Public safety and duties to principals, individuals, and the profession","Individuals, the profession, and public safety and duties to principals","Individuals, public safety and duties to principals, and the profession","The profession, public safety and duties to principals, and individuals",,,,,,,,,,,A
1185,,,,"A company is enrolled in a hard drive reuse program where decommissioned equipment is sold back to the vendor when it is no longer needed. The vendor pays more money for functioning drives than equipment that is no longer operational. Which method of data sanitization would provide the most secure means of preventing unauthorized data loss, while also receiving the most money from the vendor?",Pinning,Single-pass wipe,Degaussing,Multi-pass wipes,,,,,,,,,,,C
1186,,,,Which of the following explains why classifying data is an important step in performing a Risk assessment?,To provide a framework for developing good security metrics,To justify the selection of costly security controls,To classify the security controls sensitivity that helps scope the risk assessment,To help determine the appropriate level of data security controls,,,,,,,,,,,D
1187,,,,What requirement MUST be met during internal security audits to ensure that all information provided is expressed as an objective assessment without risk of retaliation?,The auditor must be independent and report directly to the management.,The auditor must utilize automated tools to back their findings.,The auditor must work closely with both the information Technology (IT) and security sections of an organization.,The auditor must perform manual reviews of systems and processes.,,,,,,,,,,,A
1188,,,,Which of the following needs to be tested to achieve a Cat 6a certification for a company's data cabling?,RJ11,LC ports,Patch panel,F-type connector,,,,,,,,,,,C
1189,,,,The Chief Information Security Officer (CISO) is concerned about business application availability. The organization was recently subject to a ransomware attack that resulted in the unavailability of applications and services for 10 working days that required paper-based running of all main business processes. There are now aggressive plans to enhance the Recovery Time Objective (RTO) and cater for more frequent data captures. Which of the following solutions should be implemented to fully comply to the new business requirements?,Virtualization,Antivirus,Process isolation,Host-based intrusion prevention system (HIPS),,,,,,,,,,,A
1190,,,,"Which Wide Area Network (WAN) technology requires the first router in the path to determine the full path the packet will travel, removing the need for other routers in the path to make independent determinations?",Multiprotocol Label Switching (MPLS),Synchronous Optical Networking (SONET),Session Initiation Protocol (SIP),Fiber Channel Over Ethernet (FCoE),,,,,,,,,,,A
1191,,,,Which of the following BEST describes the purpose of the reference monitor when defining access control to enforce the security model?,Quality design principles to ensure quality by design,Policies to validate organization rules,Cyber hygiene to ensure organizations can keep systems healthy,Strong operational security to keep unit members safe,,,,,,,,,,,B
1192,,,,Which of the following is considered the FIRST step when designing an internal security control assessment?,Create a plan based on recent vulnerability scans of the systems in question.,Create a plan based on comprehensive knowledge of known breaches.,Create a plan based on a recognized framework of known controls.,Create a plan based on reconnaissance of the organization's infrastructure.,,,,,,,,,,,D
1193,,,,"Which of the following types of web-based attack is happening when an attacker is able to send a well-crafted, malicious request to an authenticated user without the user realizing it?",ross-Site Scripting (XSS),Cross-Site request forgery (CSRF),Cross injection,Broken Authentication And Session Management,,,,,,,,,,,B
1194,,,,Which of the following frameworks provides vulnerability metrics and characteristics to support the National Vulnerability Database (NVD)?,Center for Internet Security (CIS),Common Vulnerabilities and Exposures (CVE),Open Web Application Security Project (OWASP),Common Vulnerability Scoring System (CVSS),,,,,,,,,,,D
1195,,,,Which of the following vulnerability assessment activities BEST exemplifies the Examine method of assessment?,Ensuring that system audit logs capture all relevant data fields required by the security controls baseline,Performing Port Scans of selected network hosts to enumerate active services,Asking the Information System Security Officer (ISSO) to describe the organization’s patch management processes,Logging into a web server using the default administrator account and a default password,,,,,,,,,,,D
1196,,,,"Within a large organization, what business unit is BEST positioned to initiate provisioning and deprovisioning of user accounts?",Training department,Internal audit,Human resources,Information technology (IT),,,,,,,,,,,C
1197,,,,"The ability to send malicious code, generally in the form of a client side script, to a different end user is categorized as which type of vulnerability?",Session hijacking,Cross-site request forgery (CSRF),Cross-Site Scripting (XSS),Command injection,,,,,,,,,,,C
1198,,,,Where can the Open Web Application Security Project (OWASP) list of associated vulnerabilities be found?,OWASP Top 10 Project,OWASP Software Assurance Maturity Model (SAMM) Project,OWASP Guide Project,OWASP Mobile Project,,,,,,,,,,,A
1199,,,,"Which event magnitude is defined as deadly, destructive, and disruptive when a hazard interacts with human vulnerability?",Disaster,Catastrophe,Crisis,Accident,,,,,,,,,,,B
1200,,,,Which of the following events prompts a review of the disaster recovery plan (DRP)?,New members added to the steering committee,Completion of the security policy review,Change in senior management,Organizational merger,,,,,,,,,,,D
1201,,,,"A company hired an external vendor to perform a penetration test ofa new payroll system. The company’s internal test team had already performed an in-depth application and security test of the system and determined that it met security requirements. However, the external vendor uncovered significant security weaknesses where sensitive personal data was being sent unencrypted to the tax processing systems. What is the MOST likely cause of the security issues?",Failure to perform interface testing,Failure to perform negative testing,Inadequate performance testing,Inadequate application level testing,,,,,,,,,,,A
1202,,,,Which of the following would be the BEST mitigation practice for man-in-the-middle (MITM) Voice over Internet Protocol (VoIP) attacks?,Use Media Gateway Control Protocol (MGCP),Use Transport Layer Security (TLS) protocol,Use File Transfer Protocol (FTP),Use Secure Shell (SSH) protocol,,,,,,,,,,,B
1203,,,,"When conducting a third-party risk assessment of a new supplier, which of the following reports should be reviewed to confirm the operating effectiveness of the security, availability, confidentiality, and privacy trust principles?","Service Organization Control (SOC) 1, Type 2","Service Organization Control (SOC) 2, Type 2",International Organization for Standardization (ISO) 27001,International Organization for Standardization (ISO) 27002,,,,,,,,,,,B
1204,,,,"A network security engineer needs to ensure that a security solution analyzes traffic for protocol manipulation and various sorts of common attacks. In addition, all Uniform Resource Locator (URL) traffic must be inspected and users prevented from browsing inappropriate websites. Which of the following solutions should be implemented to enable administrators the capability to analyze traffic, blacklist external sites, and log user traffic for later analysis?",Intrusion detection system (IDS),Circuit-Level Proxy,Application-Level Proxy,Host-based Firewall,,,,,,,,,,,B
1205,,,,What documentation is produced FIRST when performing an effective physical loss control process?,Deterrent controls list,Security standards list,inventory list,Asset valuation list,,,,,,,,,,,C
1206,,,,Which of the following is the PRIMARY goal of logical access controls?,Restrict access to an information asset.,Ensure integrity of an information asset.,Restrict physical access to an information asset.,Ensure availability of an information asset.,,,,,,,,,,,C
1207,,,,"Which of the following attacks, if successful, could give an intruder complete control of a software-defined networking (SDN) architecture?",Sniffing the traffic of a compromised host inside the network,Sending control messages to open a flow that does not pass a firewall from a compromised host within the network,A brute force password attack on the Secure Shell (SSH) port of the controller,Remote Authentication Dial-In User Service (RADIUS) token replay attack,,,,,,,,,,,B
1208,,,,Which of the following is required to verify the authenticity of a digitally signed document?,Digital hash of the signed document,Sender's private key,Recipient's public key,Agreed upon shared secret,,,,,,,,,,,A
1209,,,,"An organization has determined that its previous waterfall approach to software development is not keeping pace with business demands. To adapt to the rapid changes required for product delivery, the organization has decided to move towards an Agile software development and release cycle. In order to ensure the success of the Agile methodology, who is MOST critical in creating acceptance tests or acceptance criteria for each release?",Project managers,Software developers,Independent testers,Business customers,,,,,,,,,,,D
1210,,,,Which of the following is the BEST approach to implement multiple servers on a virtual system?,Implement multiple functions per virtual server and apply the same security configuration for each virtual server.,Implement one primary function per virtual server and apply high security configuration on the host operating system.,Implement one primary function per virtual server and apply individual security configuration for each virtual server.,Implement multiple functions within the same virtual server and apply individual security configurations to each function.,,,,,,,,,,,C
1211,,,,"An organization has developed a way for customers to share information from their wearable devices with each other. Unfortunately, the users were not informed as to what information collected would be shared. What technical controls should be put in place to remedy the privacy issue while still trying to accomplish the organization's business goals?",Default the user to not share any information.,Inform the user of the sharing feature changes after implemented.,Share only what the organization decides is best.,Stop sharing data with the other users.,,,,,,,,,,,D
1212,,,,An international organization has decided to use a Software as a Service (SaaS) solution to support its business operations. Which of the following compliance standards should the organization use to assess the international code security and data privacy of the solution?,Health Insurance Portability and Accountability Act (HIPAA),Service Organization Control (SOC) 2,Payment Card Industry (PCI),Information Assurance Technical Framework (IATF),,,,,,,,,,,B
1213,,,,A Distributed Denial of Service (DDoS) attack was carried out using malware called Mirai to create a large-scale command and control system to launch a botnet. Which of the following devices were the PRIMARY sources used to generate the attack traffic?,Internet of Things (IoT) devices,Microsoft Windows hosts,Web servers running open source operating systems (OS),Mobile devices running Android,,,,,,,,,,,A
1214,,,,Which of the following is the PRIMARY reason for selecting the appropriate level of detail for audit record generation?,Lower costs throughout the System Development Life Cycle (SDLC),Facilitate a root cause analysis (RCA),Enable generation of corrective action reports,Avoid lengthy audit reports,,,,,,,,,,,B
1215,,,,"When defining a set of security controls to mitigate a risk, which of the following actions MUST occur?",Each control's effectiveness must be evaluated individually.,Each control must completely mitigate the risk.,The control set must adequately mitigate the risk.,The control set must evenly divided the risk.,,,,,,,,,,,A
1216,,,,An organization is planning to have an it audit of its as a Service (SaaS) application to demonstrate to external parties that the security controls around availability are designed. The audit report must also cover a certain period of time to show the operational effectiveness of the controls. Which Service Organization Control (SOC) report would BEST fit their needs?,SOC 1 Type 1,SOC 1 Type 2,SOC 2 Type 1,SOC 2 Type 2,,,,,,,,,,,D
1217,,,,What are the essential elements of a Risk Assessment Report (RAR)?,"Table of contents, testing criteria, and index","Table of contents, chapters, and executive summary","Executive summary, graph of risks, and process","Executive summary, body of the report, and appendices",,,,,,,,,,,D
1218,,,,"At the destination host, which of the following OSI model layers will discard a segment with a bad checksum in the UDP header?",Network,Data link,Transport,Session,,,,,,,,,,,C
1219,,,,An organization has implemented a protection strategy to secure the network from unauthorized external access. The new Chief Information Security Officer (CISO) wants to increase security by better protecting the network from unauthorized internal access. Which Network Access Control (NAC) capability BEST meets this objective?,Application firewall,Port security,Strong passwords,Two-factor authentication (2FA),,,,,,,,,,,D
1220,,,,Data remanence is the biggest threat in which of the following scenarios?,A physical disk drive has been overwritten and reused within a datacenter.,"A physical disk drive has been degaussed, verified, and released to a third party for dest…….","A flash drive has been overwritten, verified, and reused within a datacenter.",A flash drive has been overwritten and released to a third party for destruction.,,,,,,,,,,,D
1221,,,,The acquisition of personal data being obtained by a lawful and fair means is an example of what principle?,Data Quality Principle,Openness Principle,Purpose Specification Principle,Collection Limitation Principle,,,,,,,,,,,D
1222,,,,"Which of the following would an information security professional use to recognize changes to content, particularly unauthorized changes?",File Integrity Checker,Security information and event management (SIEM) system,Audit Logs,Intrusion detection system (IDS),,,,,,,,,,,A
1223,,,,"Which of the following measures serves as the BEST means for protecting data on computers, smartphones, and external storage devices when traveling to high-risk countries?","Review applicable destination country laws, forensically clean devices prior to travel, and only download sensitive data over a virtual private network (VPN) upon arriving at the destination.","Keep laptops, external storage devices, and smartphones in the hotel room when not in use.",Leverage a Secure Socket Layer (SSL) connection over a virtual private network (VPN) to download sensitive data upon arriving at the destination.,Use multi-factor authentication (MFA) to gain access to data stored on laptops or external storage devices and biometric fingerprint access control isms to unlock smartphones.,,,,,,,,,,,D
1224,,,,"Clothing retailer employees are provisioned with user accounts that provide access to resources at partner businesses. All partner businesses use common identity and access management (IAM) protocols and differing technologies. Under the Extended Identity principle, what is the process flow between partner businesses to allow this TAM action?","Clothing retailer acts as identity provider (IdP), confirms identity of user using industry standards, then sends credentials to partner businesses that act as a Service Provider and allows access to services.","Clothing retailer acts as User Self Service, confirms identity of user using industry standards, then sends credentials to partner businesses that act as a Service Provider and allows access to services.","Clothing retailer acts as Service Provider, confirms identity of user using industry standards, then sends credentials to partner businesses that act as an identity provider (IdP) and allows access to resources.","Clothing retailer acts as Access Control Provider, confirms access of user using industry standards, then sends credentials to partner businesses that act as a Service Provider and allows access to resources.",,,,,,,,,,,A
1225,,,,Which of the following is the BEST way to protect privileged accounts?,Quarterly user access rights audits,Role-based access control (RBAC),Written supervisory approval,Multi-factor authentication (MFA),,,,,,,,,,,D
1226,,,,An attack utilizing social engineering and a malicious Uniform Resource Locator (URL) link to take advantage of a victim's existing browser session with a web application is an example of which of the following types of attack?,Cross-Site Scripting (XSS),Cross-site request forgery (CSRF),Injection,Click jacking,,,,,,,,,,,B
1227,,,,Which of the following will an organization's network vulnerability testing process BEST enhance?,Firewall log review processes,Asset management procedures,Server hardening processes,Code review procedures,,,,,,,,,,,C
1228,,,,What is the PRIMARY benefit of relying on Security Content Automation Protocol (SCAP)?,Save security costs for the organization.,Improve vulnerability assessment capabilities.,Standardize specifications between software security products.,Achieve organizational compliance with international standards.,,,,,,,,,,,C
1229,,,,"In a large company, a system administrator needs to assign users access to files using Role Based Access Control (RBAC). Which option Is an example of RBAC?",Mowing users access to files based on their group membership,Allowing users access to files based on username,Allowing users access to files based on the users location at time of access,Allowing users access to files based on the file type,,,,,,,,,,,A
1230,,,,A Chief Information Security Officer (CISO) of a firm which decided to migrate to cloud has been tasked with ensuring an optimal level of security. Which of the following would be the FIRST consideration?,Define the cloud migration roadmap and set out which applications and data repositories should be moved into the cloud.,Ensure that the contract between the cloud vendor and the firm clearly defines responsibilities for operating security controls.,Analyze the firm's applications and data repositories to determine the relevant control requirements.,Request a security risk assessment of the cloud vendor be completed by an independent third-party.,,,,,,,,,,,A
1231,,,,Which of the following is the PRIMARY purpose of due diligence when an organization embarks on a merger or acquisition?,Assess the business risks.,Formulate alternative strategies.,Determine that all parties are equally protected.,Provide adequate capability for all parties.,"Strategy and program management, project delivery, governance, operations",,,,,,,,,,A
1232,,,,Which of the following outsourcing agreement provisions has the HIGHEST priority from a security operations perspective?,Conditions to prevent the use of subcontractors,Terms for contract renegotiation in case of disaster,Escalation process for problem resolution during incidents,Root cause analysis for application performance issue,,,,,,,,,,,D
1233,,,,Which of the following addresses requirements of security assessments during software acquisition?,Software configuration management (SCM),Data loss prevention (DLP) policy,Continuous monitoring,Software assurance policy,,,,,,,,,,,A
1234,,,,Which of the following describes the order in which a digital forensic process is usually conducted?,"Ascertain legal authority, agree upon examination strategy, conduct examination, and report results","Ascertain legal authority, conduct investigation, report results, and agree upon examination strategy","Agree upon examination strategy, ascertain legal authority, conduct examination, and report results","Agree upon examination strategy, ascertain legal authority, report results, and conduct examination",,,,,,,,,,,A
1235,,,,Which of the following minimizes damage to information technology (IT) equipment stored in a data center when a false fire alarm event occurs?,A pre-action system is installed.,An open system is installed.,A dry system is installed.,A wet system is installed.,,,,,,,,,,,C
1236,,,,Which of the following is the PRIMARY issue when analyzing detailed log information?,Logs may be unavailable when required,Timely review of the data is potentially difficult,Most systems and applications do not support logging,Logs do not provide sufficient details of system and individual activities,,,,,,,,,,,D
1237,,,,What is the benefit of using Network Admission Control (NAC)?,Operating system (OS) versions can be validated prior to allowing network access.,NAC supports validation of the endpoint's security posture prior to allowing the session to go into an authorized state.,"NAC can require the use of certificates, passwords, or a combination of both before allowing network admission.",NAC only supports Windows operating systems (OS).,,,,,,,,,,,C
1238,,,,"A security architect is developing an information system for a client. One of the requirements is to deliver a platform that mitigates against common vulnerabilities and attacks, What is the MOST efficient option used to prevent buffer overflow attacks?",Process isolation,Address Space Layout Randomization (ASLR),Processor states,Access control mechanisms,,,,,,,,,,,B
1239,,,,Which of the following is MOST appropriate to collect evidence of a zero-day attack?,Firewall,Honeypot,Antispam,Antivirus,,,,,,,,,,,A
1240,,,,"A hospital has allowed virtual private networking (VPN) access to remote database developers. Upon auditing the internal firewall configuration, the network administrator discovered that split-tunneling was enabled. What is the concern with this configuration?",Remote sessions will not require multi-layer authentication.,Remote clients are permitted to exchange traffic with the public and private network.,Multiple Internet Protocol Security (IPSec) tunnels may be exploitable in specific circumstances.,The network intrusion detection system (NIDS) will fail to inspect Secure Sockets Layer (SSL) traffic.,,,,,,,,,,,C
1241,,,,Security Software Development Life Cycle (SDLC) expects application code to be written In a consistent manner to allow ease of auditing and which of the following?,Protecting,Executing,Copying,Enhancing,,,,,,,,,,,A
1242,,,,A developer is creating an application that requires secure logging of all user activity. What is the BEST permission the developer should assign to the log file to ensure requirements are met?,Read,Execute,Write,Append,,,,,,,,,,,C
1243,,,,Which of the following is the reason that transposition ciphers are easily recognizable?,Key,Block,Stream,Character,,,,,,,,,,,B
1244,,,,Which of the following would be considered an incident if reported by a security information and event management (SIEM) system?,An administrator is logging in on a server through a virtual private network (VPN).,A log source has stopped sending data.,A web resource has reported a 404 error.,A firewall logs a connection between a client on the Internet and a web server using Transmission Control Protocol (TCP) on port 80.,,,,,,,,,,,C
1245,,,,"In setting expectations when reviewing the results of a security test, which of the following statements is MOST important to convey to reviewers?",The target’s security posture cannot be further compromised.,The results of the tests represent a point-in-time assessment of the target(s).,The accuracy of testing results can be greatly improved if the target(s) are properly hardened.,The deficiencies identified can be corrected immediately,,,,,,,,,,,C
1246,,,,What is static analysis intended to do when analyzing an executable file?,"Collect evidence of the executable file's usage, including dates of creation and last use.",Search the documents and files associated with the executable file.,Analyze the position of the file in the file system and the executable file's libraries.,Disassemble the file to gather information about the executable file's function.,,,,,,,,,,,D
1247,,,,Commercial off-the-shelf (COTS) software presents which of the following additional security concerns?,Vendors take on the liability for COTS software vulnerabilities.,In-house developed software is inherently less secure.,Exploits for COTS software are well documented and publicly available.,COTS software is inherently less secure.,,,,,,,,,,,C
1248,,,,"Management has decided that a core application will be used on personal cellular phones. As an implementation requirement, regularly scheduled analysis of the security posture needs to be conducted. Management has also directed that continuous monitoring be implemented. Which of the following is required to accomplish management’s directive?","Strict integration of application management, configuration management (CM), and phone management",Management application installed on user phones that tracks all application events and cellular traffic,Enterprise-level security information and event management (SIEM) dashboard that provides full visibility of cellular phone activity,Routine reports generated by the user's cellular phone provider that detail security events,,,,,,,,,,,B
1249,,,,Which of the following security tools monitors devices and records the information in a central database for further analysis?,Security orchestration automation and response,Host-based intrusion detection system (HIDS),Antivirus,Endpoint detection and response (EDR),,,,,,,,,,,A
1250,,,,What is the FINAL step in the waterfall method for contingency planning?,Maintenance,Testing,Implementation,Training,,,,,,,,,,,A
1251,,,,"A small office is running WiFi 4 APs, and neighboring offices do not want to increase the throughput to associated devices. Which of the following is the MOST cost-efficient way for the office to increase network performance?",Add another AP.,Disable the 2.4GHz radios,Enable channel bonding.,Upgrade to WiFi 5.,,,,,,,,,,,C
1252,,,,A corporation does not have a formal data destruction policy. During which phase of a criminal legal proceeding will this have the MOST impact?,Arraignment,Trial,Sentencing,Discovery,,,,,,,,,,,D
1253,,,,An enterprise is developing a baseline cybersecurity standard its suppliers must meet before being awarded a contract. Which of the following statements is TRUE about the baseline cybersecurity standard?,It should be expressed as general requirements.,It should be expressed in legal terminology.,It should be expressed in business terminology.,It should be expressed as technical requirements.,,,,,,,,,,,D
1254,,,,"What BEST describes the confidentiality, integrity, availability triad?",A tool used to assist in understanding how to protect the organization's data,The three-step approach to determine the risk level of an organization,The implementation of security systems to protect the organization's data,A vulnerability assessment to see how well the organization's data is protected,,,,,,,,,,,C
1255,,,,Which of the following is the MOST significant key management problem due to the number of keys created?,Keys are more difficult to provision and,Storage of the keys require increased security,Exponential growth when using asymmetric keys,Exponential growth when using symmetric keys,,,,,,,,,,,B
1256,,,,What is the MOST important goal of conducting security assessments?,"To prepare the organization for an external audit, particularly by a regulatory entity","To discover unmitigated security vulnerabilities, and propose paths for mitigating them",To align the security program with organizational risk appetite,To demonstrate proper function of security controls and processes to senior management,,,,,,,,,,,B
1257,,,,"The personal laptop of an organization executive is stolen from the office, complete with personnel and project records. Which of the following should be done FIRST to mitigate future occurrences?",Encrypt disks on personal laptops.,Issue cable locks for use on personal laptops.,Create policies addressing critical information on personal laptops.,Monitor personal laptops for critical information.,,,,,,,,,,,A
1258,,,,"While classifying credit card data related to Payment Card Industry Data Security Standards (PCI-DSS), which of the following is a PRIMARY security requirement?",Processor agreements with card holders,Three-year retention of data,Encryption of data,Specific card disposal methodology,,,,,,,,,,,C
1259,,,,An information security administrator wishes to block peer-to-peer (P2P) traffic over Hypertext Transfer Protocol (HTTP) tunnels. Which of the following layers of the Open Systems Interconnection (OSI) model requires inspection?,Presentation,Transport,Session,Application,,,,,,,,,,,A
1260,,,,A security professional has been assigned to assess a web application. The assessment report recommends switching to Security Assertion Markup Language (SAML). What is the PRIMARY security benefit in switching to SAML?,It uses Transport Layer Security (TLS) to address confidentiality.,it enables single sign-on (SSO) for web applications.,The users’ password Is not passed during authentication.,It limits unnecessary data entry on web forms.,,,,,,,,,,,B
1261,,,,Which of the following will accomplish Multi-Factor Authentication (MFA)?,Issuing a smart card with a user-selected Personal Identification Number (PIN),Requiring users to enter a Personal Identification Number (PIN) and a password,Performing a palm and retinal scan,Issuing a smart card and a One Time Password (OTP) token,,,,,,,,,,,A
1262,,,,An organization has discovered that organizational data is posted by employees to data storage accessible to the general public. What is the PRIMARY step an organization must take to ensure data is properly protected from public release?,Implement a data classification policy.,Implement a data encryption policy.,Implement a user training policy.,Implement a user reporting policy.,,,,,,,,,,,C
1263,,,,"After the INITIAL input o f a user identification (ID) and password, what is an authentication system that prompts the user for a different response each time the user logs on?",Persons Identification Number (PIN),Secondary password,Challenge response,Voice authentication,,,,,,,,,,,C
1264,,,,An organization is trying to secure instant messaging (IM) communications through its network perimeter. Which of the following is the MOST significant challenge?,IM clients can interoperate between multiple vendors.,IM clients can run without administrator privileges.,IM clients can utilize random port numbers.,IM clients can run as executable that do not require installation.,,,,,,,,,,,B
1265,,,,"When designing a new Voice over Internet Protocol (VoIP) network, an organization's top concern is preventing unauthorized users accessing the VoIP network. Which of the following will BEST help secure the VoIP network?",Transport Layer Security (TLS),802.1x,802.119,Web application firewall (WAF),,,,,,,,,,,A
1266,,,,"In a multi-tenant cloud environment, what approach will secure logical access to assets?",Hybrid cloud,Transparency/Auditability of administrative access,Controlled configuration management (CM),Virtual private cloud (VPC),,,,,,,,,,,D
1267,,,,"When assessing the audit capability of an application, which of the following activities is MOST important?",Determine if audit records contain sufficient information.,Review security plan for actions to be taken in the event of audit failure.,Verify if sufficient storage is allocated for audit records.,Identify procedures to investigate suspicious activity.,,,,,,,,,,,C
1268,,,,"A federal agency has hired an auditor to perform penetration testing on a critical system as part of the mandatory, annual Federal Information Security Management Act (FISMA) security assessments. The auditor is new to this system but has extensive experience with all types of penetration testing. The auditor has decided to begin with sniffing network traffic. What type of penetration testing is the auditor conducting?",White box testing,Black box testing,Gray box testing,Red box testing,,,,,,,,,,,C
1269,,,,Using Address Space Layout Randomization (ASLR) reduces the potential for which of the following attacks?,SQL injection (SQLi),Man-in-the-middle (MITM),Cross-Site Scripting (XSS),Heap overflow,,,,,,,,,,,D
1270,,,,What is the benefit of an operating system (OS) feature that is designed to prevent an application from executing code from a non-executable memory region?,Identifies which security patches still need to be installed on the system,Stops memory resident viruses from propagating their payload,Reduces the risk of polymorphic viruses from encrypting their payload,Helps prevent certain exploits that store code in buffers,,,,,,,,,,,C
1271,,,,"When designing a business continuity plan (BCP), what is the formula to determine the Maximum Tolerable Downtime (MTD)?",Annual Loss Expectancy (ALE) + Work Recovery Time (WRT),Business impact analysis (BIA) + Recovery Point Objective (RPO),Recovery Time Objective (RTO) + Work Recovery Time (WRT),Estimated Maximum Loss (EML) + Recovery Time Objective (RTO),,,,,,,,,,,C
1272,,,,"In systems security engineering, what does the security principle of modularity provide?",Documentation of functions,Isolated functions and data,Secure distribution of programs and data,Minimal access to perform a function,,,,,,,,,,,A
1273,,,,Dumpster diving is a technique used in which stage of penetration testing methodology?,Attack,Discovery,Reporting,Planning,,,,,,,,,,,B
1274,,,,Which of the following Disaster recovery (DR) testing processes is LEAST likely to disrupt normal business operations?,Parallel,Simulation,Table-top,Cut-over,,,,,,,,,,,C
1275,,,,Which of the following poses the GREATEST privacy risk to personally identifiable information (PII) when disposing of an office printer or copier?,The device could contain a document with PII on the platen glass,Organizational network configuration information could still be present within the device,A hard disk drive (HDD) in the device could contain PII,The device transfer roller could contain imprints of PII,,,,,,,,,,,B
